GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
310M300US22180,22180,"Fayetteville, NC Metro Area",386662,*****
310M300US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",535557,3375
310M300US22380,22380,"Flagstaff, AZ Metro Area",140776,*****
310M300US22420,22420,"Flint, MI Metro Area",407385,*****
310M300US22500,22500,"Florence, SC Metro Area",205831,*****
310M300US22520,22520,"Florence-Muscle Shoals, AL Metro Area",147038,*****
310M300US22540,22540,"Fond du Lac, WI Metro Area",102548,*****
310M300US22660,22660,"Fort Collins, CO Metro Area",343976,*****
310M300US22900,22900,"Fort Smith, AR-OK Metro Area",282086,*****
310M300US23060,23060,"Fort Wayne, IN Metro Area",434617,*****
310M300US23420,23420,"Fresno, CA Metro Area",989255,*****
310M300US23460,23460,"Gadsden, AL Metro Area",102755,*****
310M300US23540,23540,"Gainesville, FL Metro Area",285374,2471
310M300US23580,23580,"Gainesville, GA Metro Area",199335,*****
310M300US23900,23900,"Gettysburg, PA Metro Area",102336,*****
310M300US24020,24020,"Glens Falls, NY Metro Area",126152,*****
310M300US24140,24140,"Goldsboro, NC Metro Area",124172,*****
310M300US24220,24220,"Grand Forks, ND-MN Metro Area",102414,*****
310M300US24260,24260,"Grand Island, NE Metro Area",85936,734
310M300US24300,24300,"Grand Junction, CO Metro Area",151616,*****
310M300US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",1059113,*****
310M300US24420,24420,"Grants Pass, OR Metro Area",86352,*****
310M300US24500,24500,"Great Falls, MT Metro Area",81654,*****
310M300US24540,24540,"Greeley, CO Metro Area",304633,*****
310M300US24580,24580,"Green Bay, WI Metro Area",320050,*****
310M300US24660,24660,"Greensboro-High Point, NC Metro Area",761184,*****
310M300US24780,24780,"Greenville, NC Metro Area",179042,*****
310M300US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",895923,*****
310M300US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",394232,*****
310M300US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",265498,*****
310M300US25220,25220,"Hammond, LA Metro Area",132497,*****
310M300US25260,25260,"Hanford-Corcoran, CA Metro Area",150101,*****
310M300US25420,25420,"Harrisburg-Carlisle, PA Metro Area",571903,*****
310M300US25500,25500,"Harrisonburg, VA Metro Area",134442,*****
310M300US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1210259,*****
310M300US25620,25620,"Hattiesburg, MS Metro Area",146530,2194
310M300US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",366534,*****
310M300US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",215302,*****
310M300US25980,25980,"Hinesville, GA Metro Area",81044,2784
310M300US26140,26140,"Homosassa Springs, FL Metro Area",145647,*****
310M300US26300,26300,"Hot Springs, AR Metro Area",98658,*****
310M300US26380,26380,"Houma-Thibodaux, LA Metro Area",210512,*****
310M300US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6892427,*****
310M300US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",356474,*****
310M300US26620,26620,"Huntsville, AL Metro Area",455448,*****
310M300US26820,26820,"Idaho Falls, ID Metro Area",145349,798
310M300US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2027059,1958
310M300US26980,26980,"Iowa City, IA Metro Area",171491,*****
310M300US27060,27060,"Ithaca, NY Metro Area",104802,*****
310M300US27100,27100,"Jackson, MI Metro Area",158640,*****
310M300US27140,27140,"Jackson, MS Metro Area",578794,3943
310M300US27180,27180,"Jackson, TN Metro Area",129235,*****
310M300US27260,27260,"Jacksonville, FL Metro Area",1504980,*****
310M300US27340,27340,"Jacksonville, NC Metro Area",193893,*****
310M300US27500,27500,"Janesville-Beloit, WI Metro Area",162309,*****
310M300US27620,27620,"Jefferson City, MO Metro Area",147584,3070
310M300US27740,27740,"Johnson City, TN Metro Area",203462,2289
310M300US27780,27780,"Johnstown, PA Metro Area",133054,*****
310M300US27860,27860,"Jonesboro, AR Metro Area",131269,*****
310M300US27900,27900,"Joplin, MO Metro Area",178507,*****
310M300US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",166348,*****
310M300US28020,28020,"Kalamazoo-Portage, MI Metro Area",338338,*****
310M300US28100,28100,"Kankakee, IL Metro Area",109605,*****
310M300US28140,28140,"Kansas City, MO-KS Metro Area",2126945,1540
310M300US28420,28420,"Kennewick-Richland, WA Metro Area",290296,*****
310M300US28660,28660,"Killeen-Temple, TX Metro Area",442693,2911
310M300US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",305914,1935
310M300US28740,28740,"Kingston, NY Metro Area",179417,*****
310M300US28940,28940,"Knoxville, TN Metro Area",877874,1417
310M300US29020,29020,"Kokomo, IN Metro Area",82363,*****
310M300US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",136934,*****
310M300US29180,29180,"Lafayette, LA Metro Area",491558,*****
310M300US29200,29200,"Lafayette-West Lafayette, IN Metro Area",218769,1284
310M300US29340,29340,"Lake Charles, LA Metro Area",210962,2140
310M300US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",207200,*****
310M300US29460,29460,"Lakeland-Winter Haven, FL Metro Area",686483,*****
310M300US29540,29540,"Lancaster, PA Metro Area",542903,*****
310M300US29620,29620,"Lansing-East Lansing, MI Metro Area",477656,*****
310M300US29700,29700,"Laredo, TX Metro Area",274794,*****
310M300US29740,29740,"Las Cruces, NM Metro Area",215579,*****
310M300US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2204079,*****
310M300US29940,29940,"Lawrence, KS Metro Area",120793,*****
310M300US30020,30020,"Lawton, OK Metro Area",127735,714
310M300US30140,30140,"Lebanon, PA Metro Area",139754,*****
310M300US30300,30300,"Lewiston, ID-WA Metro Area",62921,*****
310M300US30340,30340,"Lewiston-Auburn, ME Metro Area",107651,*****
310M300US30460,30460,"Lexington-Fayette, KY Metro Area",512650,*****
310M300US30620,30620,"Lima, OH Metro Area",103198,*****
310M300US30700,30700,"Lincoln, NE Metro Area",331592,1665
310M300US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",738082,1766
310M300US30860,30860,"Logan, UT-ID Metro Area",138219,1487
310M300US30980,30980,"Longview, TX Metro Area",217481,*****
310M300US31020,31020,"Longview, WA Metro Area",106910,*****
310M300US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13353907,*****
310M300US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",1293722,3269
310M300US31180,31180,"Lubbock, TX Metro Area",318011,2088
310M300US31340,31340,"Lynchburg, VA Metro Area",260116,2700
310M300US31420,31420,"Macon-Bibb County, GA Metro Area",229258,2586
310M300US31460,31460,"Madera, CA Metro Area",156890,*****
310M300US31540,31540,"Madison, WI Metro Area",654230,*****
310M300US31700,31700,"Manchester-Nashua, NH Metro Area",409697,*****
310M300US31740,31740,"Manhattan, KS Metro Area",98080,*****
310M300US31860,31860,"Mankato-North Mankato, MN Metro Area",100939,*****
310M300US31900,31900,"Mansfield, OH Metro Area",120589,*****
310M300US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",860661,*****
310M300US32780,32780,"Medford, OR Metro Area",217479,*****
310M300US32820,32820,"Memphis, TN-MS-AR Metro Area",1346626,2774
310M300US32900,32900,"Merced, CA Metro Area",272673,*****
310M300US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6158824,*****
310M300US33140,33140,"Michigan City-La Porte, IN Metro Area",110029,*****
310M300US33220,33220,"Midland, MI Metro Area",83411,*****
310M300US33260,33260,"Midland, TX Metro Area",169643,1433
310M300US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1576236,*****
310M300US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3600618,*****
310M300US33540,33540,"Missoula, MT Metro Area",117441,*****
310M300US33660,33660,"Mobile, AL Metro Area",413955,*****
310M300US33700,33700,"Modesto, CA Metro Area",547899,*****
310M300US33740,33740,"Monroe, LA Metro Area",178445,*****
310M300US33780,33780,"Monroe, MI Metro Area",149649,*****
310M300US33860,33860,"Montgomery, AL Metro Area",373889,1706
310M300US34060,34060,"Morgantown, WV Metro Area",138709,*****
310M300US34100,34100,"Morristown, TN Metro Area",118081,*****
310M300US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",125619,*****
310M300US34620,34620,"Muncie, IN Metro Area",115184,*****
310M300US34740,34740,"Muskegon, MI Metro Area",173693,*****
310M300US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",464165,*****
310M300US34900,34900,"Napa, CA Metro Area",140973,*****
310M300US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",372880,*****
310M300US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1904226,2046
310M300US35100,35100,"New Bern, NC Metro Area",125786,1924
310M300US35300,35300,"New Haven-Milford, CT Metro Area",860435,*****
310M300US35380,35380,"New Orleans-Metairie, LA Metro Area",1275762,*****
310M300US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",20320876,*****
310M300US35660,35660,"Niles-Benton Harbor, MI Metro Area",154259,*****
310M300US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",804690,*****
310M300US35980,35980,"Norwich-New London, CT Metro Area",269033,*****
310M300US36100,36100,"Ocala, FL Metro Area",354353,*****
310M300US36140,36140,"Ocean City, NJ Metro Area",93553,*****
310M300US36220,36220,"Odessa, TX Metro Area",157087,*****
310M300US36260,36260,"Ogden-Clearfield, UT Metro Area",666547,1320
310M300US36420,36420,"Oklahoma City, OK Metro Area",1383737,*****
310M300US36500,36500,"Olympia-Tumwater, WA Metro Area",280588,*****
310M300US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",934184,1037
310M300US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2509831,*****
310M300US36780,36780,"Oshkosh-Neenah, WI Metro Area",170414,*****
310M300US36980,36980,"Owensboro, KY Metro Area",118831,2079
310M300US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",854223,*****
310M300US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",589162,*****
310M300US37460,37460,"Panama City, FL Metro Area",202236,2005
310M300US37620,37620,"Parkersburg-Vienna, WV Metro Area",90424,1506
310M300US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",487784,*****
310M300US37900,37900,"Peoria, IL Metro Area",373637,680
310M300US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6096120,*****
